gallery_number,gallery_name,department,floor,wing,latitude,longitude
201,Chinese Ceramics,,2,,40.779359281,-73.963113485
202,Gallery 202,,2,,40.779239302,-73.962979541
203,Chinese Ceramics,,2,,40.778960267,-73.963021496
204,Chinese Ceramics,,2,,40.779134944,-73.962731959
205,Chinese Ceramics,Adele and Stanley Herzman Collection,2,,40.779414186,-73.962690439
206,Chinese Buddhist Art ,The Arthur M. Sackler Gallery,2,,40.779504915,-73.962624073
207,Celebrating the Year of the Horse,,2,,40.779808578,-73.962536865
208,Chinese Buddhist Art ,Charlotte C. Weber Galleries,2,,40.779721287,-73.962478484
209,The Astor Forecourt,Florence and Herbert Irving Asian Wing,2,,40.780008923,-73.962256135
210,Chinese Painting and Calligraphy,Douglas Dillon Galleries,2,,40.780212407,-73.962252558
211,C.C. Wang Family Gallery for Chinese Painting and Calligraphy,C.C. Wang Family Gallery,2,,40.780377928,-73.962113841
212,C.C. Wang Family Gallery for Chinese Painting and Calligraphy,C.C. Wang Family Gallery,2,,40.780420988,-73.962150176
213,Chinese Painting and Calligraphy,Frances Young Tang Gallery,2,,40.780328762,-73.961997168
214,Chinese Painting and Calligraphy,Douglas Dillon Galleries,2,,40.78021068,-73.961966017
215,Chinese Painting and Calligraphy,Douglas Dillon Galleries,2,,40.780148237,-73.962011552
216,Chinese Painting and Calligraphy,Douglas Dillon Galleries,2,,40.780057202,-73.962077937
217,Chinese Courtyard in the Style of the Ming Dynasty,The Astor Court,2,,40.780140228,-73.962198618
218,Chinese Courtyard in the Style of the Ming Dynasty,Florence and Herbert Irving Asian Wing,2,,40.780257355,-73.962076788
219,Chinese Treasury,Florence and Herbert Irving Galleries for Chinese Decorative Arts,3,,40.780418254,-73.962143764
220,"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900",,3,,40.780369319,-73.96209342
221,"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900",,3,,40.780331245,-73.96200306
222,A Passion for Jade: The Bishop Collection,,3,,40.780296757,-73.961921215
223,The Infinite Artistry of Japanese Ceramics,,2,,40.780106867,-73.962499034
224,The Infinite Artistry of Japanese Ceramics,,2,,40.780153923,-73.962598275
225,The Infinite Artistry of Japanese Ceramics,,2,,40.780222019,-73.962713964
226,The Infinite Artistry of Japanese Ceramics,,2,,40.780275745,-73.962848501
227,The Infinite Artistry of Japanese Ceramics,,2,,40.7803892,-73.962980721
228,The Infinite Artistry of Japanese Ceramics,,2,,40.780346413,-73.962895462
229,The Infinite Artistry of Japanese Ceramics,,2,,40.780318875,-73.962765805
230,The Infinite Artistry of Japanese Ceramics,,2,,40.780285554,-73.962667633
231,The Infinite Artistry of Japanese Ceramics,,2,,40.780222751,-73.962535596
232,The Infinite Artistry of Japanese Ceramics,,2,,40.780169066,-73.962431458
233,Flip Sides: Seeing Korean Art Anew,,2,,40.779601942,-73.962554258
234,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.77953248,-73.962460574
235,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779605905,-73.962407032
236,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779690488,-73.962345353
237,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779760304,-73.962294441
238,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779813175,-73.962255887
239,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779898381,-73.962193753
240,South Asian Hindu-Buddhist and Jain Sculpture,Florence and Herbert Irving Galleries,2,,40.779836971,-73.962105781
241,Indian Medieval Sculpture Gallery,Florence and Herbert Irving Galleries,2,,40.779923533,-73.962067714
